001. 50939479 | 福建伯恩
097. 55003995 | 数智驱动部
098. 55003996 | 蝶城营销部
099. 55003997 | 员工赋能部
100. 55003998 | 幸福社区发展部
101. 50924108 | 万物为家
102. 50900088 | 福讯信息
103. 50900093 | 筹备组
104. 50907188 | SaaS产品中心
105. 50916856 | 管理层
106. 50943210 | 业务支持部
107. 50943936 | 管理层
108. 50948074 | 福链数字
109. 50960885 | 业务与解决方案
110. 50962783 | 支持中心
111. 50963034 | 市场中心
112. 50952375 | 万净环卫
113. 50952426 | 管理层
114. 50952427 | 质量与数字运营部
115. 50952428 | 装备智能部
116. 50952429 | 财务及运营管理部
117. 50952430 | 人力资源与行政服务部
118. 50961305 | 绿化业务部
119. 50948498 | A24福州第四分公司
120. 50657813 | B04杭州第三分公司
121. 50501575 | B08宁波第四分公司
122. 50974828 | B58上海第八分公司50974828
123. 50974829 | B63宁波第三分公司50974829
124. 50846652 | C09吉林江城物业管理部
125. 50846657 | D14青岛环城物业管理部
126. 50846658 | D15济南临淄物业管理部
127. 50974830 | E73合肥第三分公司50974830
128. 50974831 | F76中山第二分公司50974831
129. 50974832 | G58武汉第五分公司50974832
130. 50974833 | H58成都第六分公司50974833
131. 50923141 | 数字运营中心
132. 50927979 | 人力资源与行政服务部
133. 50927980 | 财务及运营管理部
134. 50928001 | 开发商服务中心
135. 50942330 | 万科物业
136. 50942337 | 合作与服务发展部
137. 50942444 | 管理层
138. 50967441 | 资产运营部
139. 50974316 | 万物智选发展中心50974316
140. 55002133 | 产品能力发展中心
141. 50968336 | 修缮业务发展中心
142. 50942335 | 业务管理中心
143. 50942336 | 住宅项目孵化中心
144. 50847600 | 万物梁行本部
145. 50922299 | 大鹏项目接轨项目组
146. 50945920 | 济南福仁置业有限公司
147. 50950307 | 汕尾市善城万物城资
148. 50927787 | 深圳南头分公司
149. 50920695 | 深圳坪山公司
150. 50974793 | 通万城资50974793
151. 50917671 | 万物云城
152. 50918135 | 万物云城本部
153. 50924799 | 江门人才岛城资公司
154. 50925085 | 东莞水乡城资
155. 50925258 | 扬州万新城市运营
156. 50925826 | 深圳机场物业
157. 50925867 | 营销中心
158. 50925869 | 投资经营中心
159. 50925870 | 人力资源与行政服务部
160. 50946407 | 财务及运营管理部
161. 50946757 | 华东专项工作组
162. 50950530 | 南昌TOD筹备组
163. 50954417 | 业务管理部
164. 50959152 | 理想之地PMO
165. 50960219 | 云城本部经营组
166. 55002787 | 天秤产品业务部
167. 50906339 | Z浙江三和电梯
168. 50928511 | 东莞万御保安服务有限公司
169. 50928204 | 广东万御保安服务有限公司
170. 50919596 | 万御安防
171. 50909853 | 万御安防科技公司
172. 50959123 | 万御电梯
173. 55002772 | 万物为家朴邻发展业务部
174. 55003999 | 万物为家朴邻发展业务部
175. 50914019 | 祥盈企服
176. 50916158 | 企业服务事业部本部
177. 50972517 | 房修业务部50972517
178. 50972889 | 房修业务部
179. 50916502 | 业务支持部
180. 50941150 | 人力资源与行政服务部
181. 50941776 | 市场拓展部
182. 50951512 | 品牌及会员部
183. 50962768 | 财务管理部
184. 55002005 | 资产经营中心
185. 55002006 | 管理层
186. 55002225 | 资产管理部
187. 55002227 | 商业管理部
188. 55002228 | 产品工程部
189. 55002229 | 成本管理部
