行政组织编码,行政组织名称,所属公司,组织单位,组织长名称,组织流程层级分类,物理层级,组织授权级别,组织授权级别命中规则,刷新时间
50927570,广州万盈物业50927570,广州万盈物业50927570,（作废）广州万盈物业50927570,万物云_广州万盈物业50927570,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50927609,广州万盈物业50927609,万物云,（作废）广州万盈物业50927609,万物云_广州万盈物业50927609,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50004868,广州物业（中心城市）,广州物业（中心城市）,（作废）广州物业（中心城市）,万物云_广州物业（中心城市）,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909439,广州战区,广州战区,（作废）广州战区,万物云_广州战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50074602,海南物业,海南物业,（作废）海南物业,万物云_海南物业,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50099558,杭州物业（中心城市）,杭州物业（中心城市）,（作废）杭州物业（中心城市）,万物云_杭州物业（中心城市）,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909444,杭州战区,杭州战区,（作废）杭州战区,万物云_杭州战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50108552,合肥城市代表处,合肥城市代表处,（作废）合肥城市代表处,万物云_合肥城市代表处,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50916215,华北区域,华北区域,（作废）华北区域,万物云_华北区域,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50916214,华东区域,华东区域,（作废）华东区域,万物云_华东区域,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50916213,华南区域,华南区域,（作废）华南区域,万物云_华南区域,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50104181,惠州物业,惠州物业,（作废）惠州物业,万物云_惠州物业,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924106,吉黑战区代表处,吉黑战区代表处,（作废）吉黑战区代表处,万物云_吉黑战区代表处,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50164166,昆明物业,昆明物业,（作废）昆明物业,万物云_昆明物业,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909442,南京战区,南京战区,（作废）南京战区,万物云_南京战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909443,青岛战区,青岛战区,（作废）青岛战区,万物云_青岛战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909441,厦门战区,厦门战区,（作废）厦门战区,万物云_厦门战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909437,上海战区,上海战区,（作废）上海战区,万物云_上海战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50712938,设施管理运营中心,设施管理运营中心,（作废）设施管理运营中心,万物云_设施管理运营中心,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909432,深圳战区,深圳战区,（作废）深圳战区,万物云_深圳战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909433,沈阳战区,沈阳战区,（作废）沈阳战区,万物云_沈阳战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909445,苏州战区,苏州战区,（作废）苏州战区,万物云_苏州战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50525989,万物仓,万物仓,（作废）万物仓,万物云_万物仓,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50910217,万物成长咨询服务公司,万物成长咨询服务公司,（作废）万物成长咨询服务公司,万物云_万物成长咨询服务公司,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50907636,万物社区业务部,万物社区业务部,（作废）万物社区业务部,万物云_万物社区业务部,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909436,武汉战区,武汉战区,（作废）武汉战区,万物云_武汉战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50000094,物业发展,物业发展,（作废）物业发展,万物云_物业发展,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50217291,物业事业本部,物业事业本部,（作废）物业事业本部,万物云_物业事业本部,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50901406,幸福社区发展中心50901406,幸福社区发展中心50901406,（作废）幸福社区发展中心50901406,万物云_幸福社区发展中心50901406,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50911423,业财法人组织,业财法人组织,（作废）业财法人组织,万物云_业财法人组织,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50905793,誉鹰物业,誉鹰物业,（作废）誉鹰物业,万物云_誉鹰物业,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50909438,长春战区,长春战区,（作废）长春战区,万物云_长春战区,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50635751,浙江耀江物业,浙江耀江物业,（作废）浙江耀江物业,万物云_浙江耀江物业,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50907620,政企空间服务事业部,政企空间服务事业部,（作废）政企空间服务事业部,万物云_政企空间服务事业部,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50916216,中西区域,中西区域,（作废）中西区域,万物云_中西区域,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50921923,珠海万物云,珠海万物云,（作废）珠海万物云,万物云_珠海万物云,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50802219,住宅项目运营中心,住宅项目运营中心,（作废）住宅项目运营中心,万物云_住宅项目运营中心,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50974450,资产经营中心50974450,资产经营中心50974450,（作废）资产经营中心50974450,万物云_资产经营中心50974450,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50906472,自营装修发展中心-作废,自营装修发展中心-作废,（作废）自营装修发展中心-作废,万物云_自营装修发展中心-作废,,2,二级授权,org_unit_name:startswith_（作废）_and_physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50942331,安徽战区代表处,安徽战区代表处,安徽战区代表处,万物云_安徽战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924095,川云战区代表处,川云战区代表处,川云战区代表处,万物云_川云战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924104,东北战区代表处,东北战区代表处,东北战区代表处,万物云_东北战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924096,鄂豫战区代表处,鄂豫战区代表处,鄂豫战区代表处,万物云_鄂豫战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924092,佛山战区代表处,佛山战区代表处,佛山战区代表处,万物云_佛山战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
55008578,福建战区代表处,福建战区代表处,福建战区代表处,万物云_福建战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50947634,福州战区代表处,福州战区代表处,福州战区代表处,万物云_福州战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924091,广州战区代表处,广州战区代表处,广州战区代表处,万物云_广州战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924101,杭州战区代表处,杭州战区代表处,杭州战区代表处,万物云_杭州战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924107,津晋战区代表处,津晋战区代表处,津晋战区代表处,万物云_津晋战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924103,京冀战区代表处,京冀战区代表处,京冀战区代表处,万物云_京冀战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924099,南京战区代表处,南京战区代表处,南京战区代表处,万物云_南京战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50942333,琼桂战区代表处,琼桂战区代表处,琼桂战区代表处,万物云_琼桂战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924093,厦门战区代表处,厦门战区代表处,厦门战区代表处,万物云_厦门战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924105,山东战区代表处,山东战区代表处,山东战区代表处,万物云_山东战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924098,上海战区代表处,上海战区代表处,上海战区代表处,万物云_上海战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924090,深圳战区代表处,深圳战区代表处,深圳战区代表处,万物云_深圳战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924100,苏州战区代表处,苏州战区代表处,苏州战区代表处,万物云_苏州战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924460,万科物业,万科物业,万科物业,万物云_万科物业,,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50913850,万物梁行,万物梁行,万物梁行,万物云_万物梁行,,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50942334,西北战区代表处,西北战区代表处,西北战区代表处,万物云_西北战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50942332,湘赣战区代表处,湘赣战区代表处,湘赣战区代表处,万物云_湘赣战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
50924097,渝贵战区代表处,渝贵战区代表处,渝贵战区代表处,万物云_渝贵战区代表处,属地组织,2,二级授权,physical_level:eq_2,2026-03-21 16:40:47.619028+08:00
55003992,人力资源与行政服务部,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_人力资源与行政服务部,蝶发人行部,3,二级授权,process_level_category:蝶发人行部,2026-03-21 16:40:47.619028+08:00
55004012,组织发展与薪酬绩效组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_人力资源与行政服务部_组织发展与薪酬绩效组,蝶发人行部,4,二级授权,process_level_category:蝶发人行部,2026-03-21 16:40:47.619028+08:00
55004013,HRBP组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_人力资源与行政服务部_HRBP组,蝶发人行部,4,二级授权,process_level_category:蝶发人行部,2026-03-21 16:40:47.619028+08:00
55004015,朴邻人力资源组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_人力资源与行政服务部_朴邻人力资源组,蝶发人行部,4,二级授权,process_level_category:蝶发人行部,2026-03-21 16:40:47.619028+08:00
50967781,丹田,丹田,丹田,万物云_丹田,业务单元本部,2,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50967784,业务发展中心,丹田,丹田,万物云_丹田_业务发展中心,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50967785,业务支持中心,丹田,丹田,万物云_丹田_业务支持中心,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50967786,财务管理部,丹田,丹田,万物云_丹田_财务管理部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50967794,市场拓展部,丹田,丹田,万物云_丹田_市场拓展部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50967807,丹田本部,丹田,丹田,万物云_丹田_丹田本部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
55000825,丹田（组织）,丹田,丹田,万物云_丹田_丹田（组织）,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50923142,第五空间,第五空间,蝶城发展中心,万物云_蝶城发展中心_第五空间,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
55001776,蝶城发展中心,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心,业务单元本部,2,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
55001777,管理层,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_管理层,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
55002786,住这儿产品业务部,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_住这儿产品业务部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
55003993,财务及运营管理部,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_财务及运营管理部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
55003994,蝶城办公室,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_蝶城办公室,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
55003995,数智驱动部,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_数智驱动部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
55003996,蝶城营销部,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_蝶城营销部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
55003997,员工赋能部,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_员工赋能部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
55003998,幸福社区发展部,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_幸福社区发展部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50924108,万物为家,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50900088,福讯信息,福讯信息,福讯信息,万物云_福讯信息,业务单元本部,2,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50900093,筹备组,福讯信息,福讯信息,万物云_福讯信息_筹备组,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50907188,SaaS产品中心,福讯信息,福讯信息,万物云_福讯信息_SaaS产品中心,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50916856,管理层,福讯信息,福讯信息,万物云_福讯信息_管理层,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50943210,业务支持部,福讯信息,福讯信息,万物云_福讯信息_业务支持部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50943936,管理层,福讯信息,福讯信息,万物云_福讯信息_管理层,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50948074,福链数字,福讯信息,福讯信息,万物云_福讯信息_福链数字,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50960885,业务与解决方案,福讯信息,福讯信息,万物云_福讯信息_业务与解决方案,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50962783,支持中心,福讯信息,福讯信息,万物云_福讯信息_支持中心,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50963034,市场中心,福讯信息,福讯信息,万物云_福讯信息_市场中心,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50952375,万净环卫,万净环卫,万净环卫,万物云_万净环卫,业务单元本部,2,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50952426,管理层,万净环卫,万净环卫,万物云_万净环卫_管理层,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50952427,质量与数字运营部,万净环卫,万净环卫,万物云_万净环卫_质量与数字运营部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50952428,装备智能部,万净环卫,万净环卫,万物云_万净环卫_装备智能部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50952429,财务及运营管理部,万净环卫,万净环卫,万物云_万净环卫_财务及运营管理部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50952430,人力资源与行政服务部,万净环卫,万净环卫,万物云_万净环卫_人力资源与行政服务部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50961305,绿化业务部,万净环卫,万净环卫,万物云_万净环卫_绿化业务部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50948498,A24福州第四分公司,A24福州第四分公司,万科物业,万物云_万科物业_A24福州第四分公司,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50657813,B04杭州第三分公司,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50501575,B08宁波第四分公司,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50974828,B58上海第八分公司50974828,B58上海第八分公司50974828,万科物业,万物云_万科物业_B58上海第八分公司50974828,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50974829,B63宁波第三分公司50974829,B63宁波第三分公司50974829,万科物业,万物云_万科物业_B63宁波第三分公司50974829,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50846652,C09吉林江城物业管理部,C09吉林江城物业管理部,万科物业,万物云_万科物业_C09吉林江城物业管理部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50846657,D14青岛环城物业管理部,D14青岛环城物业管理部,万科物业,万物云_万科物业_D14青岛环城物业管理部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50846658,D15济南临淄物业管理部,D15济南临淄物业管理部,万科物业,万物云_万科物业_D15济南临淄物业管理部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50974830,E73合肥第三分公司50974830,E73合肥第三分公司50974830,万科物业,万物云_万科物业_E73合肥第三分公司50974830,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50974831,F76中山第二分公司50974831,F76中山第二分公司50974831,万科物业,万物云_万科物业_F76中山第二分公司50974831,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50974832,G58武汉第五分公司50974832,G58武汉第五分公司50974832,万科物业,万物云_万科物业_G58武汉第五分公司50974832,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50974833,H58成都第六分公司50974833,H58成都第六分公司50974833,万科物业,万物云_万科物业_H58成都第六分公司50974833,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50923141,数字运营中心,数字运营中心,万科物业,万物云_万科物业_数字运营中心,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50927979,人力资源与行政服务部,万科物业,万科物业,万物云_万科物业_人力资源与行政服务部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50927980,财务及运营管理部,万科物业,万科物业,万物云_万科物业_财务及运营管理部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50928001,开发商服务中心,万科物业,万科物业,万物云_万科物业_开发商服务中心,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50942330,万科物业,万科物业,万科物业,万物云_万科物业,业务单元本部,2,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50942337,合作与服务发展部,万科物业,万科物业,万物云_万科物业_合作与服务发展部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50942444,管理层,万科物业,万科物业,万物云_万科物业_管理层,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50967441,资产运营部,万科物业,万科物业,万物云_万科物业_资产运营部,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
50974316,万物智选发展中心50974316,万科物业,万科物业,万物云_万科物业_万物智选发展中心50974316,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
55002133,产品能力发展中心,万科物业,万科物业,万物云_万科物业_产品能力发展中心,业务单元本部,3,二级授权,process_level_category:业务单元本部_and_physical_level:lte_3,2026-03-21 16:40:47.619028+08:00
