行政组织编码,行政组织名称,所属公司,组织单位,组织长名称,组织流程层级分类,物理层级,组织授权级别,组织授权级别命中规则,模拟授权级别
55004016,业务支持组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_财务及运营管理部_业务支持组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004017,综合管控组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_财务及运营管理部_综合管控组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004018,蝶城拓展组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_蝶城办公室_蝶城拓展组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004019,运营协同组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_蝶城办公室_运营协同组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004020,朴邻支持组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_数智驱动部_朴邻支持组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004021,研选家支持组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_数智驱动部_研选家支持组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004022,蝶城中台组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_数智驱动部_蝶城中台组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004023,数据中台组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_数智驱动部_数据中台组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004024,公共产研组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_数智驱动部_公共产研组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004025,用户经营组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_数智驱动部_用户经营组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004026,客服组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_数智驱动部_客服组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004027,家服孵化组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_数智驱动部_家服孵化组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004028,品牌组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_蝶城营销部_品牌组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004029,营销组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_蝶城营销部_营销组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004030,内容组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_蝶城营销部_内容组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004031,新业务发展组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_员工赋能部_新业务发展组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004032,管家工作室,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_员工赋能部_管家工作室,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004033,产品运营组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_员工赋能部_产品运营组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004034,战略客户拓展组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_幸福社区发展部_战略客户拓展组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004035,到店PMO组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_幸福社区发展部_到店PMO组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004036,社群运营组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_幸福社区发展部_社群运营组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004840,增长推动组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_住这儿产品业务部_增长推动组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004841,智能基础架构组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_住这儿产品业务部_智能基础架构组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004842,业务研发组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_住这儿产品业务部_业务研发组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55004843,商业运营组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_住这儿产品业务部_商业运营组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55006189,家服支持组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_数智驱动部_家服支持组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55007357,经营分析组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_数智驱动部_经营分析组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
55009023,云朵运营组,蝶城发展中心,蝶城发展中心,万物云_蝶城发展中心_员工赋能部_云朵运营组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50916260,华南朴邻,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_华南朴邻,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50916261,华东朴邻,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_华东朴邻,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50916262,华北朴邻,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_华北朴邻,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50916263,中西朴邻,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_中西朴邻,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50925890,数智驱动中心,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_数智驱动中心,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50925929,财务及运营管理部,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_财务及运营管理部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50925930,人力资源与行政服务部,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_人力资源与行政服务部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50926763,管理层,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_管理层,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50942305,合作与服务发展部,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_合作与服务发展部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50949636,参谋部,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_参谋部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50954687,居有屋业务部,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_居有屋业务部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50963432,品牌营运中心,万物为家,蝶城发展中心,万物云_蝶城发展中心_万物为家_品牌营运中心,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50907187,解决方案,福讯信息,福讯信息,万物云_福讯信息_市场中心_解决方案,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50907189,市场管理部,福讯信息,福讯信息,万物云_福讯信息_市场中心_市场管理部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50916814,技术架构与方案交付,福讯信息,福讯信息,万物云_福讯信息_SaaS产品中心_技术架构与方案交付,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50916815,平台运营,福讯信息,福讯信息,万物云_福讯信息_SaaS产品中心_平台运营,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50916859,集中商业,福讯信息,福讯信息,万物云_福讯信息_SaaS产品中心_集中商业,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50927175,方案解决,福讯信息,福讯信息,万物云_福讯信息_业务与解决方案_方案解决,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50927276,渠道合作50927276,福讯信息,福讯信息,万物云_福讯信息_SaaS产品中心_渠道合作50927276,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50927277,社区商业,福讯信息,福讯信息,万物云_福讯信息_SaaS产品中心_社区商业,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50943282,SaaS产品,福讯信息,福讯信息,万物云_福讯信息_SaaS产品中心_SaaS产品,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50943283,财务运营,福讯信息,福讯信息,万物云_福讯信息_业务支持部_财务运营,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50943303,渠道合作,福讯信息,福讯信息,万物云_福讯信息_SaaS产品中心_渠道合作,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50943304,产品部,福讯信息,福讯信息,万物云_福讯信息_市场中心_产品部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50943309,业务管理,福讯信息,福讯信息,万物云_福讯信息_业务与解决方案_业务管理,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50943310,人事行政,福讯信息,福讯信息,万物云_福讯信息_业务支持部_人事行政,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50951879,市场拓展部,福讯信息,福讯信息,万物云_福讯信息_市场中心_市场拓展部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50958576,财务运营部,福讯信息,福讯信息,万物云_福讯信息_支持中心_财务运营部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50962871,权益合作,福讯信息,福讯信息,万物云_福讯信息_市场中心_权益合作,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50966333,人事行政部,福讯信息,福讯信息,万物云_福讯信息_支持中心_人事行政部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50940534,阳光智博,阳光智博,投资与创新发展中心,万物云_投资与创新发展中心_万物成长被投企业_阳光智博,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50834735,R福州永荣浅水湾,A24福州第四分公司,万科物业,万物云_万科物业_A24福州第四分公司_R福州永荣浅水湾,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50948632,A24福州第四分公司本部,A24福州第四分公司,万科物业,万物云_万科物业_A24福州第四分公司_A24福州第四分公司本部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50948633,A24福州第四分公司市场,A24福州第四分公司,万科物业,万物云_万科物业_A24福州第四分公司_A24福州第四分公司市场,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659310,Q杭州名城公,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Q杭州名城公,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659311,Q杭州雅戈尔,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Q杭州雅戈尔,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659312,Z杭州雅戈尔,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Z杭州雅戈尔,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659313,杭州西溪蝶园50659313,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_杭州西溪蝶园50659313,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659314,杭州西溪蝶园50659314,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_杭州西溪蝶园50659314,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659315,K杭州荆山翠,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_K杭州荆山翠,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659316,K杭州赞成·,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_K杭州赞成·,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659317,K杭州赞成乐,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_K杭州赞成乐,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659318,Z杭州凤山花,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Z杭州凤山花,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659319,Z杭州国都公,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Z杭州国都公,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659320,Z杭州西鉴枫,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Z杭州西鉴枫,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659321,Z杭州西铭苑,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Z杭州西铭苑,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659322,Z杭州长堤明,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Z杭州长堤明,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50661342,杭州宸北花苑,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_杭州宸北花苑,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50661343,杭州西溪正庐,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_杭州西溪正庐,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50661442,杭州凯德龙湾,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_杭州凯德龙湾,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50663166,杭州金色城品,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_杭州金色城品,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50663920,管理中心本部,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_管理中心本部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50690352,Q杭州水岸枫,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Q杭州水岸枫,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50690353,Q杭州海派风,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Q杭州海派风,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50703832,杭州西溪名庐,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_杭州西溪名庐,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50834788,Z杭州富春居,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Z杭州富春居,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50834848,Z杭州凤山花苑50834848,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Z杭州凤山花苑50834848,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50834849,Z杭州国都公寓50834849,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Z杭州国都公寓50834849,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50834851,Z杭州西铭苑50834851,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_Z杭州西铭苑50834851,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50834855,B04杭州第三分公司本部,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_B04杭州第三分公司本部,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50941818,B04杭州第三分公司市场,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_B04杭州第三分公司市场,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50945691,杭州云空城星之里筹备组,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_杭州云空城星之里筹备组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50945692,杭州云空城风之筑筹备组,B04杭州第三分公司,万科物业,万物云_万科物业_B04杭州第三分公司_杭州云空城风之筑筹备组,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50501581,管理中心本部50501581,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_管理中心本部50501581,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50501582,宁波云鹭湾50501582,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_宁波云鹭湾50501582,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50501583,宁波万科城50501583,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_宁波万科城50501583,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50512445,旧-宁波沧海,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_旧-宁波沧海,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50552549,旧-Z宁波香,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_旧-Z宁波香,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50552550,Z宁波乐筑良,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_Z宁波乐筑良,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50552551,Z宁波新海景,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_Z宁波新海景,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50552552,Z宁波湖景花,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_Z宁波湖景花,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50552553,旧-Z宁波西,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_旧-Z宁波西,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50552554,旧-Z宁波雅,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_旧-Z宁波雅,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50552555,Z宁波莱茵堡,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_Z宁波莱茵堡,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50595663,旧-Z余姚泗,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_旧-Z余姚泗,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50643154,宁波万科城东,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_宁波万科城东,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659254,Z宁波长岛花,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_Z宁波长岛花,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659255,K宁波耐森海,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_K宁波耐森海,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
50659256,K宁波耐森香,B08宁波第四分公司,万科物业,万物云_万科物业_B08宁波第四分公司_K宁波耐森香,业务单元本部,4,二级授权,process_level_category:业务单元本部_and_physical_level:lte_4,三级授权
